IsPlayer,Timing,Any,Face_Any,Red,Face_Red,Green,Face_Green,Blue,Face_Blue
f,t,"あ、もうこんな時間！ そろそろ行かないと、お店閉まっちゃうね。",Surprise,,,,,,,,
t,t,"あ、はい…。そうですね。急ぎましょう。",Normal,,,,,,,,
f,t,"今日は付き合ってくれてありがとね。遷宮寺くんがいてくれて助かったよ。",Smile,,,,,,,,
t,t,"いえ、そんな…。僕も、先輩と話せて楽しかったです。",Normal,,,,,,,,
f,t,"うん。じゃあ、ペンキのリスト確認しよっか。えーと、赤が2缶と…。",Normal,,,,,,,,
t,t,"（…会話、終わっちゃったな。）",Sad,,,,,,,,
t,t,"（もっと踏み込んで話せばよかった。先輩の好きなこと、もっと聞きたかったのに。）",Sad,,,,,,,,
t,t,"（ただの「便利な後輩」のままじゃ、隣を歩く資格なんてないよな…。）",Sad,,,,,,,,
f,t,"遷宮寺くん？ どうしたの？ 行くよー？",Normal,,,,,,,,
t,t,"あ、はい！ 今行きます！ …はは、頑張ろう。（空元気）",Normal,,,,,,,,
